Date,Open,High,Low,Close,Adj Close,Volume
2003-01-02,33.599998,33.919998,33.389999,33.910000,15.152682,4365400
2003-01-03,33.910000,34.195000,33.799999,34.169998,15.268862,4958000
2003-01-06,34.169998,35.200001,34.099998,34.950001,15.617405,7761200
2003-01-07,34.875000,34.950001,34.000000,34.224998,15.293441,8403400
2003-01-08,34.230000,34.270000,33.799999,34.025002,15.204063,6096400
2003-01-09,34.075001,34.605000,34.035000,34.560001,15.443138,5208400
2003-01-10,34.250000,34.470001,34.025002,34.305000,15.329185,5611000
2003-01-13,34.389999,34.439999,33.895000,34.090000,15.233110,6636200
2003-01-14,34.115002,34.264999,33.775002,34.250000,15.304607,5158800
2003-01-15,34.340000,34.349998,33.950001,34.075001,15.226417,4651400
2003-01-16,34.325001,34.500000,34.150002,34.160000,15.264392,4782400
2003-01-17,34.160000,34.400002,33.910000,34.055000,15.217470,5004200
2003-01-21,34.060001,34.060001,33.410000,33.424999,14.935962,6352200
2003-01-22,33.200001,33.290001,32.820000,32.849998,14.679021,8907600
2003-01-23,32.724998,32.759998,32.325001,32.485001,14.515923,8201400
2003-01-24,32.415001,32.485001,31.635000,31.770000,14.196423,7238600
2003-01-27,31.725000,31.825001,30.655001,30.924999,13.818834,9717000
2003-01-28,31.110001,31.700001,31.049999,31.475000,14.064603,7359800
2003-01-29,31.985001,32.849998,31.825001,32.650002,14.589657,9937800
2003-01-30,32.740002,32.869999,31.770000,32.099998,14.343882,7353600
2003-01-31,31.125000,32.435001,31.055000,32.200001,14.388570,16914200
2003-02-03,32.205002,32.855000,32.125000,32.825001,14.667845,7417600
2003-02-04,32.400002,33.009998,32.119999,32.735001,14.627639,7440600
2003-02-05,32.900002,32.974998,32.264999,32.535000,14.538265,7341200
2003-02-06,32.535000,32.535000,31.785000,32.325001,14.444425,5751000
2003-02-07,32.299999,32.435001,31.625000,31.860001,14.236638,5593400
2003-02-10,31.924999,32.470001,31.875000,32.470001,14.509221,5413200
2003-02-11,32.549999,32.860001,32.000000,32.264999,14.417615,6424000
2003-02-12,31.915001,32.049999,31.475000,31.540001,14.248203,4477600
2003-02-13,31.450001,31.775000,31.110001,31.500000,14.230132,4877000
2003-02-14,31.525000,32.040001,31.395000,31.865000,14.395025,4650600
2003-02-18,32.160000,32.384998,31.915001,32.000000,14.456018,5383600
2003-02-19,32.005001,32.259998,32.005001,32.205002,14.548620,4265800
2003-02-20,32.500000,32.625000,31.750000,31.750000,14.343069,6267600
2003-02-21,32.049999,32.450001,31.745001,32.025002,14.467306,6524600
2003-02-24,32.084999,32.345001,31.985001,32.205002,14.548620,6730000
2003-02-25,32.209999,32.474998,31.820000,32.095001,14.498928,6954400
2003-02-26,31.959999,32.369999,31.875000,32.040001,14.474080,5161200
2003-02-27,32.369999,32.369999,31.889999,32.080002,14.492158,7460200
2003-02-28,32.080002,32.360001,32.035000,32.084999,14.494410,6425400
2003-03-03,32.264999,32.525002,32.180000,32.270000,14.577981,5016800
2003-03-04,32.349998,32.465000,32.240002,32.325001,14.602835,4415000
2003-03-05,32.400002,32.974998,32.314999,32.974998,14.896466,7056600
2003-03-06,32.980000,33.014999,32.509998,32.689999,14.767718,7427800
2003-03-07,32.400002,32.860001,32.134998,32.630001,14.740616,7612600
2003-03-10,32.599998,32.705002,31.889999,31.950001,14.433426,6945000
2003-03-11,32.275002,32.330002,31.775000,31.870001,14.397286,5840000
2003-03-12,31.870001,31.870001,30.850000,31.525000,14.241433,9503600
2003-03-13,32.075001,32.075001,31.665001,31.830000,14.379213,7102200
2003-03-14,31.910000,32.125000,31.575001,32.095001,14.498928,6675400
2003-03-17,31.799999,32.575001,31.799999,32.355000,14.616385,8107800
2003-03-18,32.355000,32.900002,32.029999,32.814999,14.824192,8186800
2003-03-19,32.849998,33.049999,32.680000,32.915001,14.869365,8531000
2003-03-20,32.915001,33.220001,32.669998,32.900002,14.862587,8258200
2003-03-21,33.325001,33.325001,32.830002,33.000000,14.907761,10628400
2003-03-24,32.775002,32.959999,32.349998,32.490002,14.677366,6352800
2003-03-25,32.615002,33.125000,32.555000,33.009998,14.912279,6984200
2003-03-26,33.125000,33.180000,32.799999,32.900002,14.862587,7280200
2003-03-27,32.599998,32.939999,32.400002,32.599998,14.727059,6797800
2003-03-28,32.500000,32.875000,32.474998,32.625000,14.738358,5516600
2003-03-31,32.400002,32.605000,32.150002,32.325001,14.602835,7507400
2003-04-01,32.404999,32.860001,32.375000,32.744999,14.792564,5577200
2003-04-02,32.930000,32.974998,32.445000,32.540001,14.699959,5068000
2003-04-03,32.375000,32.645000,32.099998,32.200001,14.546368,7024000
2003-04-04,32.375000,32.474998,32.154999,32.470001,14.668340,5475400
2003-04-07,32.875000,32.904999,32.150002,32.200001,14.546368,7616800
2003-04-08,32.049999,32.279999,31.945000,32.099998,14.501181,5433800
2003-04-09,32.325001,32.634998,31.995001,32.099998,14.501181,5547800
2003-04-10,32.075001,32.134998,31.795000,32.040001,14.474080,3973200
2003-04-11,31.980000,32.090000,31.625000,31.780001,14.356624,5350200
2003-04-14,31.785000,32.209999,31.730000,31.959999,14.437945,4464400
2003-04-15,31.924999,32.080002,31.674999,32.014999,14.462783,5741600
2003-04-16,32.200001,32.200001,31.645000,31.750000,14.343069,5730800
2003-04-17,31.725000,32.040001,31.725000,32.025002,14.467306,4547800
2003-04-21,32.215000,32.340000,31.975000,32.340000,14.609606,5413200
2003-04-22,32.340000,32.680000,31.975000,32.580002,14.718029,6737200
2003-04-23,32.450001,32.514999,31.959999,32.439999,14.654781,7571400
2003-04-24,32.075001,32.400002,32.005001,32.040001,14.474080,5867600
2003-04-25,31.850000,31.875000,31.260000,31.700001,14.320481,6911400
2003-04-28,31.715000,32.250000,31.500000,31.900000,14.410837,4992200
2003-04-29,31.629999,31.905001,31.490000,31.600000,14.275312,7211200
2003-04-30,31.500000,31.670000,31.305000,31.405001,14.187225,9707600
2003-05-01,31.575001,31.705000,31.065001,31.500000,14.230132,9569800
2003-05-02,31.950001,32.799999,31.905001,32.674999,14.760941,11495000
2003-05-05,33.000000,33.700001,32.880001,33.590000,15.174296,11924200
2003-05-06,33.599998,34.000000,33.455002,33.590000,15.174296,9196600
2003-05-07,33.584999,33.584999,33.174999,33.325001,15.054575,6732600
2003-05-08,33.330002,33.814999,33.180000,33.669998,15.210431,5285000
2003-05-09,33.669998,33.840000,33.400002,33.775002,15.257873,5748600
2003-05-12,33.799999,34.294998,33.625000,34.125000,15.415980,5910200
2003-05-13,34.125000,34.639999,34.005001,34.325001,15.506325,6031000
2003-05-14,34.575001,34.575001,33.730000,33.910000,15.318853,11070600
2003-05-15,33.560001,33.814999,33.400002,33.564999,15.321134,6373200
2003-05-16,33.570000,33.860001,33.485001,33.650002,15.359944,5445600
2003-05-19,33.424999,33.549999,33.154999,33.154999,15.133990,4363400
2003-05-20,33.299999,33.459999,33.099998,33.334999,15.216150,5119200
2003-05-21,33.334999,33.880001,33.055000,33.849998,15.451235,9603800
2003-05-22,33.724998,33.950001,33.560001,33.724998,15.394175,6927000
2003-05-23,33.724998,34.490002,33.610001,34.215000,15.617834,8032400
2003-05-27,34.250000,35.700001,34.160000,35.325001,16.124514,13054800
2003-05-28,34.619999,35.625000,34.619999,35.305000,16.115370,9311600
2003-05-29,35.424999,35.485001,34.955002,35.084999,16.014959,6113600
2003-05-30,35.174999,35.700001,35.160000,35.470001,16.190695,7450200
2003-06-02,35.750000,36.400002,35.514999,36.040001,16.450880,8439800
2003-06-03,36.040001,36.500000,35.974998,36.470001,16.647165,6333600
2003-06-04,36.485001,36.959999,36.310001,36.889999,16.838877,6594400
2003-06-05,36.889999,37.180000,36.650002,37.134998,16.950705,5519600
2003-06-06,37.150002,37.419998,36.764999,37.130001,16.948421,8110000
2003-06-09,36.924999,37.025002,36.634998,36.805000,16.800070,5054400
2003-06-10,37.075001,37.224998,36.924999,37.115002,16.941586,5235200
2003-06-11,37.365002,37.865002,37.250000,37.805000,17.256536,5453600
2003-06-12,37.860001,38.115002,37.395000,37.810001,17.258818,5044200
2003-06-13,37.810001,37.845001,37.150002,37.525002,17.128729,4871600
2003-06-16,37.275002,37.540001,37.090000,37.470001,17.103621,7794400
2003-06-17,37.470001,37.470001,36.775002,37.154999,16.959833,6658800
2003-06-18,37.154999,37.325001,36.830002,37.095001,16.932442,5370000
2003-06-19,37.095001,37.139999,36.389999,36.865002,16.827471,4667400
2003-06-20,37.075001,37.349998,36.860001,36.900002,16.843439,5976000
2003-06-23,36.775002,36.924999,36.389999,36.810001,16.802362,5670600
2003-06-24,36.810001,37.000000,36.665001,36.904999,16.845722,5886400
2003-06-25,36.750000,37.250000,36.650002,36.700001,16.752146,4846400
2003-06-26,36.500000,36.750000,36.424999,36.590000,16.701933,4273400
2003-06-27,36.400002,36.650002,36.099998,36.189999,16.519346,5176600
2003-06-30,36.174999,36.424999,35.900002,36.099998,16.478271,4754600
2003-07-01,36.099998,36.325001,35.535000,36.224998,16.535328,6531600
2003-07-02,36.224998,36.325001,35.825001,36.325001,16.580976,5998200
2003-07-03,36.250000,36.250000,35.799999,35.965000,16.416651,3432400
2003-07-07,36.125000,36.715000,36.075001,36.650002,16.729326,6024800
2003-07-08,36.525002,36.790001,36.349998,36.735001,16.768124,4588400
2003-07-09,36.715000,36.735001,36.305000,36.400002,16.615202,4188400
2003-07-10,36.400002,36.400002,35.759998,36.035000,16.448593,5520800
2003-07-11,36.160000,36.520000,36.020000,36.500000,16.660851,3591600
2003-07-14,36.599998,36.724998,36.029999,36.095001,16.475985,4050600
2003-07-15,36.099998,36.119999,35.580002,35.680000,16.286560,5802200
2003-07-16,35.689999,35.875000,35.570000,35.730000,16.309383,5281400
2003-07-17,35.730000,35.950001,35.450001,35.750000,16.318508,6226600
2003-07-18,35.950001,36.455002,35.775002,36.369999,16.601513,6720200
2003-07-21,36.349998,36.400002,35.855000,36.049999,16.455448,5458000
2003-07-22,36.340000,36.474998,35.910000,36.275002,16.558153,5574000
2003-07-23,36.299999,36.439999,35.775002,36.009998,16.437187,3897800
2003-07-24,36.125000,36.395000,35.799999,35.900002,16.386982,4788800
2003-07-25,35.849998,36.400002,35.755001,36.365002,16.599230,4641400
2003-07-28,36.299999,36.490002,36.049999,36.290001,16.564997,4955200
2003-07-29,36.125000,36.220001,35.750000,35.900002,16.386982,4335200
2003-07-30,36.049999,36.150002,35.759998,35.900002,16.386982,3954000
2003-07-31,36.250000,36.625000,35.775002,36.055000,16.457727,4655400
2003-08-01,36.145000,36.224998,35.514999,35.525002,16.215807,5718800
2003-08-04,35.505001,35.650002,35.025002,35.334999,16.129086,6778200
2003-08-05,35.375000,35.700001,35.185001,35.400002,16.158741,5414000
2003-08-06,35.375000,35.740002,35.250000,35.439999,16.177004,6050600
2003-08-07,35.465000,36.235001,35.375000,36.130001,16.491962,4744000
2003-08-08,36.380001,36.470001,35.980000,36.400002,16.615202,4419000
2003-08-11,36.520000,36.884998,36.450001,36.599998,16.706493,4209200
2003-08-12,36.674999,36.985001,36.480000,36.955002,16.868542,5305600
2003-08-13,37.125000,37.145000,36.514999,36.619999,16.715624,4291000
2003-08-14,36.860001,37.125000,36.619999,37.119999,16.943859,5972400
2003-08-15,36.525002,36.599998,36.310001,36.410000,16.784811,3850400
2003-08-18,36.525002,36.549999,36.250000,36.290001,16.729496,4823000
2003-08-19,36.290001,36.389999,35.825001,36.049999,16.618858,5252600
2003-08-20,36.049999,36.395000,35.945000,36.299999,16.734102,4069200
2003-08-21,36.334999,36.575001,36.154999,36.389999,16.775593,4073000
2003-08-22,36.500000,36.500000,35.770000,35.904999,16.552008,3748800
