Date,Open,High,Low,Close,Volume
2003-01-02,43.049999,43.950001,43.005001,43.904999,6608800
2003-01-03,43.825001,43.965000,43.305000,43.424999,5519000
2003-01-06,43.549999,44.014999,43.485001,43.919998,5391600
2003-01-07,43.535000,43.715000,43.240002,43.244999,6639600
2003-01-08,43.200001,43.485001,42.299999,42.599998,10540600
2003-01-09,42.700001,42.950001,42.330002,42.889999,9138800
2003-01-10,42.889999,43.220001,42.575001,43.064999,6574400
2003-01-13,43.064999,43.174999,42.500000,43.095001,6612200
2003-01-14,42.900002,43.224998,42.825001,43.180000,5475800
2003-01-15,43.139999,43.200001,42.599998,42.950001,5112600
2003-01-16,43.115002,43.500000,43.080002,43.435001,6160800
2003-01-17,43.435001,43.619999,43.150002,43.520000,7420800
2003-01-21,43.540001,43.735001,43.005001,43.005001,8836200
2003-01-22,42.895000,43.215000,42.375000,42.564999,8654200
2003-01-23,42.375000,43.070000,42.369999,42.715000,6564600
2003-01-24,42.500000,42.744999,42.070000,42.110001,6369800
2003-01-27,42.049999,42.160000,41.185001,41.525002,9373200
2003-01-28,42.119999,42.630001,42.000000,42.500000,10753200
2003-01-29,42.375000,43.000000,42.009998,42.535000,10149600
2003-01-30,42.724998,42.724998,42.110001,42.250000,7519600
2003-01-31,42.150002,42.990002,42.150002,42.785000,7855600
2003-02-03,42.779999,43.049999,42.610001,42.860001,6086200
2003-02-04,42.575001,42.994999,42.264999,42.955002,6880800
2003-02-05,42.955002,43.119999,42.389999,42.650002,7276600
2003-02-06,42.549999,42.689999,42.105000,42.424999,7101000
2003-02-07,42.430000,42.700001,41.720001,41.990002,7616400
2003-02-10,42.174999,42.505001,42.000000,42.435001,7293400
2003-02-11,42.439999,42.575001,41.459999,41.595001,6932000
2003-02-12,41.625000,41.805000,41.355000,41.660000,5536200
2003-02-13,41.549999,41.645000,40.775002,41.349998,7559000
2003-02-14,41.349998,41.849998,41.075001,41.849998,6734200
2003-02-18,41.950001,42.500000,41.935001,42.305000,6274200
2003-02-19,42.174999,42.250000,41.669998,42.000000,4471600
2003-02-20,41.950001,42.099998,41.529999,41.724998,4913400
2003-02-21,42.075001,42.230000,41.599998,42.119999,6940400
2003-02-24,41.849998,41.895000,41.305000,41.445000,6578000
2003-02-25,41.150002,41.540001,40.830002,41.540001,8055000
2003-02-26,41.450001,41.575001,41.125000,41.275002,5333000
2003-02-27,41.360001,41.520000,41.005001,41.299999,8482200
2003-02-28,41.299999,41.490002,40.764999,40.930000,7569400
2003-03-03,41.174999,41.180000,40.360001,40.410000,8203200
2003-03-04,40.500000,40.570000,39.880001,39.945000,7056800
2003-03-05,39.875000,40.500000,39.845001,40.494999,7384600
2003-03-06,40.154999,40.625000,40.075001,40.075001,7180600
2003-03-07,40.080002,40.520000,39.785000,40.480000,8288400
2003-03-10,40.380001,40.384998,39.849998,39.895000,5812600
2003-03-11,39.880001,40.910000,39.830002,40.349998,9444400
2003-03-12,40.355000,41.000000,40.230000,40.974998,7981400
2003-03-13,41.375000,41.744999,40.895000,41.740002,8667800
2003-03-14,41.845001,41.980000,41.404999,41.700001,6812000
2003-03-17,41.615002,42.775002,41.415001,42.750000,10316200
2003-03-18,42.750000,43.500000,42.595001,43.310001,11100400
2003-03-19,43.310001,43.959999,43.224998,43.959999,9287400
2003-03-20,43.755001,44.285000,43.630001,44.000000,9777800
2003-03-21,44.325001,44.535000,43.994999,44.450001,11405200
2003-03-24,44.000000,44.075001,43.529999,43.779999,7374400
2003-03-25,43.785000,44.380001,43.599998,44.009998,7367400
2003-03-26,44.014999,44.445000,43.945000,44.165001,6287800
2003-03-27,43.900002,44.669998,43.750000,44.389999,6805400
2003-03-28,44.389999,44.490002,43.945000,44.320000,5937800
2003-03-31,44.250000,45.000000,44.000000,44.525002,10082000
2003-04-01,44.525002,45.000000,44.355000,44.759998,8636000
2003-04-02,44.990002,45.095001,44.735001,45.060001,9390800
2003-04-03,45.055000,45.090000,44.709999,44.720001,6290600
2003-04-04,44.400002,45.220001,44.400002,45.075001,6480800
2003-04-07,45.205002,45.549999,44.660000,44.705002,7650600
2003-04-08,44.509998,45.020000,44.505001,44.950001,6090600
2003-04-09,44.599998,45.250000,44.465000,44.645000,6393200
2003-04-10,44.645000,44.650002,44.200001,44.384998,7076800
2003-04-11,44.575001,44.834999,44.450001,44.599998,5032400
2003-04-14,44.599998,45.119999,44.564999,44.974998,5912600
2003-04-15,44.700001,45.000000,44.685001,44.939999,6803800
2003-04-16,44.845001,44.935001,44.375000,44.549999,6212400
2003-04-17,44.549999,44.779999,44.055000,44.630001,7153200
2003-04-21,44.775002,44.915001,44.555000,44.715000,4881800
2003-04-22,44.424999,45.724998,44.270000,45.564999,7550600
2003-04-23,45.439999,45.605000,45.174999,45.275002,5952000
2003-04-24,44.599998,44.950001,44.549999,44.935001,6371600
2003-04-25,44.650002,44.865002,44.400002,44.570000,4783600
2003-04-28,44.689999,45.529999,44.224998,45.345001,8444800
2003-04-29,45.299999,45.500000,44.849998,45.424999,8302000
2003-04-30,44.955002,45.230000,44.785000,44.924999,10203000
2003-05-01,45.040001,45.250000,44.185001,44.935001,5877000
2003-05-02,44.700001,45.080002,44.465000,45.075001,6295400
2003-05-05,45.000000,45.224998,44.619999,45.070000,6446000
2003-05-06,44.919998,45.040001,44.650002,44.849998,5724800
2003-05-07,44.855000,45.095001,44.705002,44.924999,6413000
2003-05-08,44.575001,44.849998,44.450001,44.560001,4773800
2003-05-09,44.564999,44.805000,44.360001,44.750000,4322600
2003-05-12,44.625000,44.700001,44.355000,44.439999,5729800
2003-05-13,44.375000,44.650002,43.799999,43.904999,7996600
2003-05-14,44.244999,44.345001,43.849998,44.299999,7593600
2003-05-15,44.500000,45.119999,44.380001,44.950001,7292800
2003-05-16,44.985001,45.244999,44.895000,45.160000,7723200
2003-05-19,45.055000,45.139999,44.805000,45.014999,5701400
2003-05-20,44.985001,45.000000,44.349998,44.674999,6665400
2003-05-21,44.424999,44.715000,44.299999,44.715000,6073400
2003-05-22,44.715000,44.919998,44.525002,44.790001,5882800
2003-05-23,44.560001,44.900002,44.514999,44.900002,3808800
2003-05-27,44.900002,45.595001,44.810001,45.555000,9698800
2003-05-28,45.560001,45.965000,45.299999,45.889999,8811600
2003-05-29,45.825001,46.005001,45.099998,45.564999,6680600
