Date,Open,High,Low,Close,Adj Close,Volume
2003-01-02,20.877501,21.427500,20.700001,21.427500,17.176216,10068400
2003-01-03,21.500000,21.775000,21.427500,21.645000,17.350567,8318000
2003-01-06,21.600000,21.682501,21.049999,21.100000,16.913700,9381600
2003-01-07,21.102501,21.102501,20.687500,20.945000,16.789444,8544400
2003-01-08,21.000000,21.250000,20.930000,21.125000,16.933737,5682400
2003-01-09,21.125000,21.337500,20.877501,21.125000,16.933737,7050800
2003-01-10,21.000000,21.045000,20.737499,20.862499,16.723310,6765200
2003-01-13,20.700001,20.959999,20.537500,20.662500,16.562988,7900000
2003-01-14,20.662500,20.662500,20.437500,20.562500,16.482836,7093200
2003-01-15,20.687500,20.760000,20.350000,20.500000,16.432739,9206400
2003-01-16,20.525000,20.620001,20.250000,20.565001,16.484833,8652000
2003-01-17,20.562500,21.212500,20.500000,21.084999,16.901665,8505600
2003-01-21,21.084999,21.292500,20.775000,20.790001,16.665201,7129600
2003-01-22,20.825001,21.209999,20.625000,20.687500,16.583035,11032000
2003-01-23,20.875000,21.275000,20.875000,21.197500,16.991846,15162000
2003-01-24,21.200001,21.512501,21.122499,21.202499,16.995855,13107600
2003-01-27,21.165001,21.165001,20.590000,20.632500,16.538954,8908400
2003-01-28,20.780001,21.084999,20.674999,21.037500,16.863600,8867600
2003-01-29,21.040001,21.497499,20.862499,21.497499,17.232332,10755200
2003-01-30,21.442499,21.650000,21.362499,21.424999,17.174210,8853600
2003-01-31,21.350000,21.977501,21.350000,21.975000,17.615086,9518400
2003-02-03,21.977501,22.187500,21.325001,21.504999,17.238337,14044000
2003-02-04,21.507500,21.507500,20.887501,21.075001,16.893654,13009600
2003-02-05,21.077499,21.432501,20.982500,20.982500,16.819500,7538400
2003-02-06,20.985001,21.254999,20.892500,21.004999,16.837543,7111600
2003-02-07,21.250000,21.320000,21.077499,21.162500,16.963799,7011200
2003-02-10,21.219999,21.475000,21.162500,21.400000,17.154175,5423200
2003-02-11,21.437500,21.500000,20.842501,20.860001,16.721312,11144800
2003-02-12,20.875000,20.969999,19.825001,20.059999,16.080032,20561200
2003-02-13,19.812500,20.184999,19.684999,19.937500,15.981835,12744400
2003-02-14,19.940001,19.995001,19.600000,19.995001,16.027929,11654800
2003-02-18,20.025000,20.590000,20.025000,20.504999,16.436741,6559600
2003-02-19,20.500000,20.775000,20.417500,20.475000,16.412687,6644000
2003-02-20,20.475000,20.625000,20.137501,20.375000,16.332544,8484400
2003-02-21,20.375000,20.747499,20.084999,20.547501,16.470810,10335200
2003-02-24,20.312500,20.315001,19.950001,20.062500,16.082031,9526800
2003-02-25,19.962500,20.242500,19.807501,20.200001,16.192255,9771200
2003-02-26,20.200001,20.637501,20.150000,20.545000,16.468801,7871600
2003-02-27,20.625000,20.757500,20.405001,20.660000,16.560987,8824000
2003-02-28,20.625000,20.875000,20.600000,20.725000,16.613089,6041200
2003-03-03,20.825001,21.082500,20.815001,20.957500,16.799459,7499200
